Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,BF,Rhat,ESS
b_Intercept,-0.3034385,1,-0.484002,-0.140194,1,1,-Inf,0,1,1002389.4312339574,1.000676261224093,1501.1600795629586
b_Congruency1,-0.20001449999999998,1,-0.246122,-0.149935,1,1,0,Inf,0,4143966761482816.5,1.0009815424524093,3734.201759754001
b_Bias1,0.002726085,1,-0.021315,0.0347925,0.6895,1,0,Inf,0.6895,0.011136193791635864,0.9999325771897647,10187.586011344485
b_prev_RT,0.0322248,1,0.0145767,0.0495207,1,1,-Inf,0,0,10823.821215740081,0.9997973526920032,18014.546072270256
b_Congruency1.Bias1,-0.0028468699999999996,1,-0.0197469,0.0132936,0.7768,1,0,Inf,0.2232,0.00929517804027712,0.9996648525378926,23154.099748342902
b_Congruency1.prev_RT,0.024863049999999998,1,0.00984008,0.0401761,1,1,-Inf,0,0,4139.6235485988245,1.0000190302381413,16853.189565739598
b_Bias1.prev_RT,0.00330547,1,-0.0123127,0.0197921,0.7762,1,-0.03383335160757489,0.03383335160757489,1,0.014090077398775663,0.9998805973773089,16759.880445805724
b_Congruency1.Bias1.prev_RT,3.10496e-4,1,-0.0149781,0.0163396,0.5299,1,-0.03383335160757489,0.03383335160757489,1,0.009741838098892872,0.9996965576906545,19452.4899499057
