Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,BF,Rhat,ESS
b_Intercept,-0.3339265,1,-0.525212,-0.0814712,1,1,-Inf,0,1,5994124550.6164055,1.0030738901924792,612.1202003383866
b_Congruency1,-0.209242,1,-0.260233,-0.166847,1,1,0,Inf,0,1399602322545478,1.002116250720636,2602.708375653303
b_Bias1,2.4756949999999995e-4,1,-0.0291269,0.0314113,0.5149,1,0,Inf,0.5149,0.012004972631134462,1.0004662759368057,5071.020226300173
b_prev_RT,0.0611815,1,0.0396465,0.0802538,1,1,-Inf,0,0,1852484340.8353567,0.9997007455904626,12382.732716646993
b_Congruency1.Bias1,-0.0271063,1,-0.0417443,-0.0103208,1,1,0,Inf,0,11486.772404975769,0.9999607417984047,14010.84479025558
b_Congruency1.prev_RT,0.03019755,1,0.01155,0.0509281,1,1,-Inf,0,0,888.4642066060696,0.9998948806274239,11925.119372039304
b_Bias1.prev_RT,0.001761925,1,-0.0167983,0.0206827,0.637,1,-0.035400818186670284,0.035400818186670284,1,0.013091747023983108,0.9997613222648252,12454.378982718088
b_Congruency1.Bias1.prev_RT,0.004812955,1,-0.0141721,0.0211953,0.8525,1,-0.035400818186670284,0.035400818186670284,1,0.019546350882783645,1.0000655435764385,8396.772020235743
