formulae,omit_prev_RT,keeper,fam,filename,Model,ELPD,ELPD_SE,LOOIC,LOOIC_SE
RT ~ 0 + Intercept + Congruency * Bias + (1 | Sub_Code)+ (1 | Dominant_Response) + (1 | unique_block),TRUE,TRUE,exgaussian,brm_fit_1_batches_Locations_1.rds,brmsfit,942.7984125382477,83.03837763515132,-1885.5968250764954,166.07675527030264
RT ~ 0 + Intercept + Congruency * Bias + (1 | Sub_Code)+ (1 | Dominant_Response) + (1 | unique_block),TRUE,TRUE,skew_normal,brm_fit_1_batches_Locations_2.rds,brmsfit,625.6921009137732,84.11991017684367,-1251.3842018275463,168.23982035368735
RT ~ 0 + Intercept + Congruency * Bias + (1 | Sub_Code)+ (1 | Dominant_Response) + (1 | unique_block),TRUE,TRUE,shifted_lognormal,brm_fit_1_batches_Locations_3.rds,brmsfit,1098.142242285186,88.86576338684873,-2196.284484570372,177.73152677369745
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency + Bias | Sub_Code)+ (Congruency + Bias | Dominant_Response) + (1 | unique_block),FALSE,TRUE,exgaussian,brm_fit_1_batches_Locations_4.rds,brmsfit,1099.6704501425274,83.4324642471703,-2199.340900285055,166.8649284943406
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency + Bias | Sub_Code)+ (Congruency + Bias | Dominant_Response) + (1 | unique_block),FALSE,TRUE,skew_normal,brm_fit_1_batches_Locations_5.rds,brmsfit,768.6492134105561,83.16974473292899,-1537.2984268211121,166.33948946585798
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency + Bias | Sub_Code)+ (Congruency + Bias | Dominant_Response) + (1 | unique_block),FALSE,TRUE,shifted_lognormal,brm_fit_1_batches_Locations_6.rds,brmsfit,1282.1439564348238,92.01735414707962,-2564.2879128696477,184.03470829415923
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency | Sub_Code) + (1 | Dominant_Response)+ (1 | unique_block),FALSE,TRUE,exgaussian,brm_fit_1_batches_Locations_7.rds,brmsfit,1049.3631339001056,85.505437560554725,-2098.726267800211,171.01087512110945
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency | Sub_Code) + (1 | Dominant_Response)+ (1 | unique_block),FALSE,TRUE,skew_normal,brm_fit_1_batches_Locations_8.rds,brmsfit,703.0416991974434,86.41676094139198,-1406.083398394887,172.83352188278397
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency | Sub_Code) + (1 | Dominant_Response)+ (1 | unique_block),FALSE,TRUE,shifted_lognormal,brm_fit_1_batches_Locations_9.rds,brmsfit,1252.6655006796236,94.96875086422803,-2505.3310013592472,189.93750172845606
