formulae,omit_prev_RT,keeper,fam,filename,Model,ELPD,ELPD_SE,LOOIC,LOOIC_SE
RT ~ 0 + Intercept + Congruency * Bias + (1 | Sub_Code)+ (1 | Dominant_Response) + (1 | unique_block),TRUE,TRUE,exgaussian,brm_fit_2_batches_Locations_1.rds,brmsfit,1493.6440786691207,113.91255281737998,-2987.2881573382415,227.82510563475995
RT ~ 0 + Intercept + Congruency * Bias + (1 | Sub_Code)+ (1 | Dominant_Response) + (1 | unique_block),TRUE,TRUE,skew_normal,brm_fit_2_batches_Locations_2.rds,brmsfit,894.0181947957444,115.8342273186196,-1788.0363895914888,231.6684546372392
RT ~ 0 + Intercept + Congruency * Bias + (1 | Sub_Code)+ (1 | Dominant_Response) + (1 | unique_block),TRUE,TRUE,shifted_lognormal,brm_fit_2_batches_Locations_3.rds,brmsfit,1771.6357062549262,122.11435077610628,-3543.2714125098523,244.22870155221256
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency + Bias | Sub_Code)+ (Congruency + Bias | Dominant_Response) + (1 | unique_block),FALSE,TRUE,exgaussian,brm_fit_2_batches_Locations_4.rds,brmsfit,1811.8823008615152,116.31808535052969,-3623.7646017230304,232.63617070105937
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency + Bias | Sub_Code)+ (Congruency + Bias | Dominant_Response) + (1 | unique_block),FALSE,TRUE,skew_normal,brm_fit_2_batches_Locations_5.rds,brmsfit,1177.917077796406,117.11712010837182,-2355.834155592812,234.23424021674364
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency + Bias | Sub_Code)+ (Congruency + Bias | Dominant_Response) + (1 | unique_block),FALSE,TRUE,shifted_lognormal,brm_fit_2_batches_Locations_6.rds,brmsfit,2163.1815457565185,126.07305147026885,-4326.363091513037,252.1461029405377
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency | Sub_Code) + (1 | Dominant_Response)+ (1 | unique_block),FALSE,TRUE,exgaussian,brm_fit_2_batches_Locations_7.rds,brmsfit,1706.7912057518408,116.51510403155251,-3413.5824115036817,233.03020806310502
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency | Sub_Code) + (1 | Dominant_Response)+ (1 | unique_block),FALSE,TRUE,skew_normal,brm_fit_2_batches_Locations_8.rds,brmsfit,1066.5767007168458,118.12038130411412,-2133.1534014336917,236.24076260822824
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency | Sub_Code) + (1 | Dominant_Response)+ (1 | unique_block),FALSE,TRUE,shifted_lognormal,brm_fit_2_batches_Locations_9.rds,brmsfit,2105.9480042297605,128.57593244580752,-4211.896008459521,257.15186489161505
