formulae,omit_prev_RT,keeper,fam,filename,Model,ELPD,ELPD_SE,LOOIC,LOOIC_SE
RT ~ 0 + Intercept + Congruency * Bias + (1 | Sub_Code)+ (1 | Dominant_Response) + (1 | Block),TRUE,TRUE,exgaussian,brm_fit_1_batches_Blocks_1.rds,brmsfit,634.1933761590338,78.88205563493021,-1268.3867523180677,157.76411126986042
RT ~ 0 + Intercept + Congruency * Bias + (1 | Sub_Code)+ (1 | Dominant_Response) + (1 | Block),TRUE,TRUE,skew_normal,brm_fit_1_batches_Blocks_2.rds,brmsfit,338.92752749107245,80.50090814739248,-677.8550549821449,161.00181629478496
RT ~ 0 + Intercept + Congruency * Bias + (1 | Sub_Code)+ (1 | Dominant_Response) + (1 | Block),TRUE,TRUE,shifted_lognormal,brm_fit_1_batches_Blocks_3.rds,brmsfit,813.7527249003913,77.9814346628746,-1627.5054498007826,155.9628693257492
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency + Bias | Sub_Code)+ (Congruency + Bias | Dominant_Response) + (1 | Block),FALSE,TRUE,exgaussian,brm_fit_1_batches_Blocks_4.rds,brmsfit,836.8475497127642,80.99066742753119,-1673.6950994255285,161.98133485506239
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency + Bias | Sub_Code)+ (Congruency + Bias | Dominant_Response) + (1 | Block),FALSE,TRUE,skew_normal,brm_fit_1_batches_Blocks_5.rds,brmsfit,529.6293402697637,82.21880007142218,-1059.2586805395274,164.43760014284436
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency + Bias | Sub_Code)+ (Congruency + Bias | Dominant_Response) + (1 | Block),FALSE,TRUE,shifted_lognormal,brm_fit_1_batches_Blocks_6.rds,brmsfit,1057.7018641395266,80.63608013158849,-2115.403728279053,161.27216026317697
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency | Sub_Code) + (1 | Dominant_Response)+ (1 | Block),FALSE,TRUE,exgaussian,brm_fit_1_batches_Blocks_7.rds,brmsfit,785.6113969545509,80.91308448148393,-1571.2227939091017,161.82616896296787
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency | Sub_Code) + (1 | Dominant_Response)+ (1 | Block),FALSE,TRUE,skew_normal,brm_fit_1_batches_Blocks_8.rds,brmsfit,468.73840724134004,82.2632662732953,-937.4768144826801,164.5265325465906
RT ~ 0 + Intercept + Congruency * Bias * prev_RT+ (Congruency | Sub_Code) + (1 | Dominant_Response)+ (1 | Block),FALSE,TRUE,shifted_lognormal,brm_fit_1_batches_Blocks_9.rds,brmsfit,1035.8441209719713,80.07347760443244,-2071.6882419439426,160.14695520886488
