Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,BF,Rhat,ESS,beyond_95,beyond_97dot5,beyond_99,power_sample_size
b_Congruency1.Bias1,-2.459925e-4,1,-0.00498597,0.00427121,0.5781,1,0,Inf,0.4219,0.0022770403470218784,1.0000109304603122,19652.498118062915,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,3.49501e-4,1,-0.00471891,0.00617657,0.6126,1,0,Inf,0.6126,0.002262724371927116,1.0001020047920446,20434.513587049638,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-4.21126e-4,1,-0.00512889,0.00426661,0.6339,1,0,Inf,0.3661,0.0023898559306910205,0.9996918726531864,19647.570343806696,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.0014188249999999999,1,-0.00344847,0.00597045,0.876,1,0,Inf,0.876,0.004230401498132843,0.9997855809819288,18089.722759314103,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.00402836,1,-0.00905137,7.79835e-4,0.9998,1,0,Inf,2e-4,0.3912951902327351,0.9997348084786765,19255.49367953539,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,7.369005e-4,1,-0.00422589,0.00566682,0.7178,1,0,Inf,0.7178,0.002648152509020134,0.9999381436111192,18549.088074551255,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.005177940000000001,1,4.71402e-4,0.00997925,1,1,0,Inf,1,3.4521904968387966,0.9997806964301413,18422.779691002903,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,-0.00109591,1,-0.00662144,0.0041134,0.7997,1,0,Inf,0.2003,0.003138103496018738,0.9997314217490386,19189.11907998569,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,4.535565e-4,1,-0.00404608,0.00515723,0.6368,1,0,Inf,0.6368,0.0025044937527502957,0.9997381495344385,20879.680945369724,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,0.00426819,1,-0.00164108,0.0096223,0.9996,1,0,Inf,0.9996,0.4780382568996568,0.9997633020623092,18598.020954390508,TRUE,TRUE,TRUE,300
b_Congruency1.Bias1,0.00120448,1,-0.0044746,0.00601852,0.8279,1,0,Inf,0.8279,0.0035754290123876306,0.999803303436587,17442.2951903201,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,8.672285e-4,1,-0.00372288,0.00605628,0.7575,1,0,Inf,0.7575,0.00287737817516823,0.9997533744991485,17439.614379159008,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.00144371,1,-0.00553915,0.00335448,0.876,1,0,Inf,0.124,0.004414962302163886,0.9998458934530939,16381.2920927841,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,6.5488e-4,1,-0.00502246,0.00590392,0.7016,1,0,Inf,0.7016,0.002575497377346777,0.9999749059569224,20064.01399169622,FALSE,FALSE,FALSE,300
b_Congruency1.Bias1,-0.002709935,1,-0.00822601,0.00241594,0.9822,1,0,Inf,0.0178,0.022452846255074068,0.9999627103622704,15029.97705222058,TRUE,TRUE,FALSE,300
b_Congruency1.Bias1,-0.002410415,1,-0.00842888,0.00322715,0.9695,1,0,Inf,0.0305,0.014615509621153834,0.9996575962082274,16967.0138803761,TRUE,FALSE,FALSE,300
