Parameter,Median,CI,CI_low,CI_high,pd,ROPE_CI,ROPE_low,ROPE_high,ROPE_Percentage,BF,Rhat,ESS
b_Intercept,-0.29616750000000003,1,-0.397614,-0.190041,1,1,-Inf,0,1,11782007042.062943,1.0012218528085282,1214.874721387079
b_Congruency1,-0.19856,1,-0.230324,-0.164225,1,1,0,Inf,0,8698488517777671e32,1.002010512202226,2572.2392157717563
b_Bias1,0.0040529699999999995,1,-0.010168,0.0169933,0.8726,1,0,Inf,0.8726,0.012374429086913753,0.9996824969819003,13440.959841747374
b_prev_RT,0.0348975,1,0.0235742,0.0465414,1,1,-Inf,0,0,528083011.58887357,0.9998532548602863,17296.770675260595
b_Congruency1.Bias1,6.42109e-4,1,-0.00893299,0.0114312,0.587,1,0,Inf,0.587,0.004995921473411259,0.999884622575433,22967.015347187877
b_Congruency1.prev_RT,0.0202728,1,0.00793951,0.0323981,1,1,-Inf,0,0,24779.055654896125,0.9997747340673061,17746.830079928775
b_Bias1.prev_RT,0.002186815,1,-0.00796389,0.0132435,0.7621,1,-0.03460341266655966,0.03460341266655966,1,0.010093528101654908,0.9998469349095215,15668.217755643187
b_Congruency1.Bias1.prev_RT,0.00127645,1,-0.00870761,0.0120336,0.6743,1,-0.03460341266655966,0.03460341266655966,1,0.007563525346548045,0.9998353328182487,17829.675770175447
